 Iteration	g0	g1	penalK	penalG	eta	beta	pAgg	change	lambda1	lambda2	Compliance	Vol. Frac.	CPU time	Real time
125	0.8507	-1.01e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.430e-02	1.261e-07	2.173e+00	1.072185e+01	0.1376	1.527344e+02	3.026e+01
126	0.8493	-9.78e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.635e-02	1.261e-07	2.169e+00	1.071481e+01	0.1377	1.573750e+02	3.046e+01
127	0.8478	-9.47e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.674e-02	1.260e-07	2.166e+00	1.070811e+01	0.1377	1.747344e+02	3.406e+01
128	0.8463	-9.16e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.398e-02	1.261e-07	2.160e+00	1.070072e+01	0.1378	1.700781e+02	3.265e+01
129	0.8448	-8.89e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.530e-02	1.260e-07	2.144e+00	1.069467e+01	0.1378	1.748594e+02	3.360e+01
130	0.8431	-8.64e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.758e-02	1.265e-07	2.135e+00	1.068631e+01	0.1378	1.590312e+02	3.073e+01
131	0.8413	-8.44e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.111e-02	1.254e-07	2.136e+00	1.068528e+01	0.1379	1.556094e+02	3.030e+01
132	0.8396	-8.25e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.212e-02	1.289e-07	2.145e+00	1.066848e+01	0.1379	1.695625e+02	3.323e+01
133	0.8383	-8.13e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	2.806e-02	1.216e-07	2.071e+00	1.069750e+01	0.1379	1.765625e+02	3.465e+01
134	0.8407	-8.31e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	3.477e-02	1.414e-07	2.131e+00	1.062526e+01	0.1379	1.962812e+02	3.772e+01
135	0.8489	-9.63e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	5.947e-02	1.328e-07	1.913e+00	1.077136e+01	0.1377	1.501875e+02	2.980e+01
136	0.8537	-1.24e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.934e-02	1.474e-07	2.158e+00	1.075571e+01	0.1373	1.676719e+02	3.258e+01
137	0.8535	-1.44e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.929e-02	1.244e-07	2.049e+00	1.090641e+01	0.1370	1.585469e+02	3.064e+01
138	0.8511	-1.49e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	3.529e-02	1.273e-07	2.093e+00	1.084069e+01	0.1370	1.640156e+02	3.168e+01
139	0.8490	-1.45e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.427e-02	1.252e-07	2.058e+00	1.084093e+01	0.1370	1.722500e+02	3.350e+01
140	0.8474	-1.39e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	4.892e-03	1.254e-07	2.035e+00	1.081803e+01	0.1371	1.794844e+02	3.437e+01
141	0.8460	-1.34e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	5.567e-03	1.254e-07	2.050e+00	1.079901e+01	0.1372	1.631875e+02	3.191e+01
142	0.8445	-1.29e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	6.693e-03	1.253e-07	2.069e+00	1.078036e+01	0.1372	1.522969e+02	2.970e+01
143	0.8431	-1.24e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	8.413e-03	1.253e-07	2.088e+00	1.076064e+01	0.1373	1.596406e+02	3.099e+01
144	0.8416	-1.19e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	7.595e-03	1.254e-07	2.118e+00	1.074203e+01	0.1374	1.752344e+02	3.400e+01
145	0.8402	-1.15e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.062e-02	1.256e-07	2.140e+00	1.072616e+01	0.1374	1.665000e+02	3.250e+01
146	0.8388	-1.11e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	9.098e-03	1.258e-07	2.170e+00	1.071272e+01	0.1375	1.587500e+02	3.139e+01
147	0.8374	-1.06e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.001e-02	1.259e-07	2.183e+00	1.070291e+01	0.1375	1.772969e+02	3.420e+01
148	0.8361	-1.03e-02	 3.0	 3.0	0.50	 2.0	5.000e+01	1.097e-02	1.259e-07	2.190e+00	1.069440e+01	0.1376	1.569062e+02	3.044e+01
149	0.8346	-9.91e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.260e-02	1.260e-07	2.197e+00	1.068645e+01	0.1376	1.561250e+02	3.064e+01
150	0.8331	-9.59e-03	 3.0	 3.0	0.50	 2.0	5.000e+01	1.518e-02	1.263e-07	2.225e+00	1.067939e+01	0.1377	1.532656e+02	3.045e+01
